Membership No  Date Joined  Active  
    20364      2016-6-11    no    
    51945      2015-4-10    yes   
    88053      2016-2-19    yes   
    49743      2020-4-12    yes   
    49109      2016-4-12    no    
    36642      2018-11-16   no    
    21690      2016-11-19   yes   
    43779      2020-6-9     yes   
    42687      2017-9-12    yes   
    32923      2020-4-25    no    
    76363      2016-1-23    no    
    54779      2016-6-24    no    
    49827      2019-8-1     no    
    21077      2016-3-25    no    
    70880      2020-3-7     yes   
    46937      2016-6-24    yes   
    15432      2015-1-4     no    
    63456      2020-2-11    no    
    37395      2019-4-6     yes   
    43411      2018-2-1     no    
